gmaps, latitude, longitude, name
t, 42.4535747089 , -76.4678858089 , Forest Home
t, 42.4537928911 , -76.4678858089 , Forest Home
t, 42.4537928911 , -76.4681039911 , Forest Home
t, 42.4535747089 , -76.4681039911 , Forest Home
t, 42.4421131089 , -76.4835020089 , Cascadilla School
t, 42.4423312911 , -76.4835020089 , Cascadilla School
t, 42.4423312911 , -76.4837201911 , Cascadilla School
t, 42.4421131089 , -76.4837201911 , Cascadilla School
t, 42.4497909089 , -76.4724909089 , Comstock Knoll
t, 42.4500090911 , -76.4724909089 , Comstock Knoll
t, 42.4500090911 , -76.4727090911 , Comstock Knoll
t, 42.4497909089 , -76.4727090911 , Comstock Knoll
t, 42.4495909089 , -76.4715909089 , Plantations Lewis Education Center
t, 42.4498090911 , -76.4715909089 , Plantations Lewis Education Center
t, 42.4498090911 , -76.4718090911 , Plantations Lewis Education Center
t, 42.4495909089 , -76.4718090911 , Plantations Lewis Education Center
t, 42.4478909089 , -76.4663909089 , Muenscher Garden
t, 42.4481090911 , -76.4663909089 , Muenscher Garden
t, 42.4481090911 , -76.4666090911 , Muenscher Garden
t, 42.4478909089 , -76.4666090911 , Muenscher Garden
t, 42.4492909089 , -76.4766909089 , Deans Garden
t, 42.4495090911 , -76.4766909089 , Deans Garden
t, 42.4495090911 , -76.4769090911 , Deans Garden
t, 42.4492909089 , -76.4769090911 , Deans Garden
t, 42.4489909089 , -76.4759909089 , Students Centennial Garden
t, 42.4492090911 , -76.4759909089 , Students Centennial Garden
t, 42.4492090911 , -76.4762090911 , Students Centennial Garden
t, 42.4489909089 , -76.4762090911 , Students Centennial Garden
t, 42.4479909089 , -76.4812909089 , Farrand Garden
t, 42.4482090911 , -76.4812909089 , Farrand Garden
t, 42.4482090911 , -76.4815090911 , Farrand Garden
t, 42.4479909089 , -76.4815090911 , Farrand Garden
t, 42.4476909089 , -76.4803909089 , Rockwell Azalea Garden
t, 42.4479090911 , -76.4803909089 , Rockwell Azalea Garden
t, 42.4479090911 , -76.4806090911 , Rockwell Azalea Garden
t, 42.4476909089 , -76.4806090911 , Rockwell Azalea Garden
t, 42.4454909089 , -76.4852909089 , Gannett Health Center
t, 42.4457090911 , -76.4852909089 , Gannett Health Center
t, 42.4457090911 , -76.4855090911 , Gannett Health Center
t, 42.4454909089 , -76.4855090911 , Gannett Health Center
t, 42.4465909089 , -76.4820909089 , Peter Plaza
t, 42.4468090911 , -76.4820909089 , Peter Plaza
t, 42.4468090911 , -76.4823090911 , Peter Plaza
t, 42.4465909089 , -76.4823090911 , Peter Plaza
t, 42.4464909089 , -76.4725909089 , Robert J Kane Sports Complex
t, 42.4467090911 , -76.4725909089 , Robert J Kane Sports Complex
t, 42.4467090911 , -76.4728090911 , Robert J Kane Sports Complex
t, 42.4464909089 , -76.4728090911 , Robert J Kane Sports Complex
t, 42.4465909089 , -76.4753909089 , Robison Alumni Fields
t, 42.4468090911 , -76.4753909089 , Robison Alumni Fields
t, 42.4468090911 , -76.4756090911 , Robison Alumni Fields
t, 42.4465909089 , -76.4756090911 , Robison Alumni Fields
t, 42.4470909089 , -76.4841909089 , Sage Chapel
t, 42.4473090911 , -76.4841909089 , Sage Chapel
t, 42.4473090911 , -76.4844090911 , Sage Chapel
t, 42.4470909089 , -76.4844090911 , Sage Chapel
t, 42.4412798089 , -76.4785020089 , Fairview Manor
t, 42.4414979911 , -76.4785020089 , Fairview Manor
t, 42.4414979911 , -76.4787201911 , Fairview Manor
t, 42.4412798089 , -76.4787201911 , Fairview Manor
t, 42.4487909089 , -76.4879909089 , Baker Tower
t, 42.4490090911 , -76.4879909089 , Baker Tower
t, 42.4490090911 , -76.4882090911 , Baker Tower
t, 42.4487909089 , -76.4882090911 , Baker Tower
t, 42.4553909089 , -76.4757909089 , Jerome H Holland International Living Center
t, 42.4556090911 , -76.4757909089 , Jerome H Holland International Living Center
t, 42.4556090911 , -76.4760090911 , Jerome H Holland International Living Center
t, 42.4553909089 , -76.4760090911 , Jerome H Holland International Living Center
t, 42.4528909089 , -76.4791909089 , Carol Tatkon Center
