id,title
4,"Harvard University"
5,"University of Denver"
8,"Princeton University"
9,"Yale University"
14,"Columbia University"
15,"California Institute of Technology"
17,"Amherst College"
18,"Cambridge Park"
19,"Massachusetts Institute of Technology"
21,"Stanford University"
25,"University of Chicago"
26,"Swarthmore College"
27,"University of Pennsylvania"
28,"Brown University"
29,"Dartmouth University"
32,"Northwestern University"
34,"Pomona College"
39,"Middlebury College"
40,"Bowdoin College"
46,"Carleton College"
47,"Wellesley College"
49,"Johns Hopkins University"
50,"Washington University in St. Louis"
51,"Cornell University"
54,"Rice University"
55,"Vanderbilt University"
78,"Haverford College"
83,"Notre Dame"
84,"Wesleyan University"
85,"Emory University"
86,"UC Berkeley"
87,"Vassar College"
89,"Georgetown University"
90,"Hamilton College"
92,"Colorado College"
98,"Bryant University"
99,"Tufts University"
102,"Iona College"
104,"New York University"
107,"Grinnell College"
108,"Carnegie Mellon University"
109,"Smith College"
114,"University of Southern California"
115,"University of Georgia"
116,"Syracuse  University"
117,"Worcester Polytechnic Institute"
119,"Stony Brook University"
120,"University at Buffalo- SUNY"
121,"Clarkson University"
122,"Colorado State University"
123,"Hofstra University"
124,"St. John's University"
125,"Seton Hall University"
126,"University of Rhode Island"
127,"University of Colorado-Denver"
131,"Lafayette College"
132,"Union College"
133,"Skidmore College"
134,"Indiana University - Bloomington"
135,"University of California Los Angeles"
136,"University of Virginia"
137,"Wake Forest University"
139,"University of Michigan - Ann Arbor"
140,"University of North Carolina - Chapel Hill"
141,"University of Colorado - Boulder"
142,"Clark University"
143,"Binghamton University - SUNY"
144,"North Carolina State University"
146,"St. Olaf College"
147,"Bates College"
148,"Colby College"
149,"Connecticut College"
150,"Colgate University"
151,"Boston College"
152,"Trinity College"
153,"University of Vermont"
154,"University of New Hampshire"
155,"Brandeis University"
157,"The New School"
158,"University of Rochester"
159,"University of California - San Diego"
160,"Wheaton College (IL)"
161,"Case Western University"
162,"Williams College"
163,"Lehigh University"
164,"Occidental College"
166,"Duke University"
168,"Regis University"
170,"University of California - Irvine"
171,"University of Texas - Austin"
176,"Tulane University"
177,"Fordham University"
178,"Ohio State University"
179,"Pepperdine University"
181,"University of Northern Colorado"
188,"School 1"
189,"School 2"
190,"School 3"
191,"School 4"
192,"Alabama A & M University"
193,"University of Alabama at Birmingham"
194,"Amridge University"
195,"University of Alabama at Huntsville"
196,"Alabama State University"
197,"University of Alabama System Office"
198,"The University of Alabama"
199,"Central Alabama Community College"
200,"Athens State University"
201,"Auburn University at Montgomery"
202,"Auburn University"
203,"Birmingham Southern College"
204,"Chattahoochee Valley Community College"
205,"Concordia College Alabama"
206,"South University-Montgomery"
207,"Enterprise State Community College"
208,"James H Faulkner State Community College"
209,"Faulkner University"
210,"Gadsden State Community College"
211,"New Beginning College of Cosmetology"
212,"George C Wallace State Community College-Dothan"
213,"George C Wallace State Community College-Hanceville"
214,"George C Wallace State Community College-Selma"
215,"Herzing University-Birmingham"
216,"Huntingdon College"
217,"Heritage Christian University"
218,"J F Drake State Technical College"
219,"J F Ingram State Technical College"
220,"Jacksonville State University"
221,"Jefferson Davis Community College"
222,"Jefferson State Community College"
223,"John C Calhoun State Community College"
224,"Judson College"
225,"Lawson State Community College-Birmingham Campus"
226,"University of West Alabama"
227,"Lurleen B Wallace Community College"
228,"Marion Military Institute"
229,"Miles College"
230,"University of Mobile"
231,"University of Montevallo"
232,"Northwest Shoals Community College-Muscle Shoals"
